date,net_pnl,transaction_cost,portfolio_value,leaders_pnl,stock_dip_pnl,index_dip_pnl,weight_leaders,weight_stock_dip,weight_index_dip,invested_weight,cash_weight,n_leaders,n_dips,top_holding,in_regime,daily_return
2019-09-06,-688.9742420096779,0.41203439200934117,151319.06118081423,-701.3192244099133,0.0,-0.0,0.3586580995206051,0.0,0.0,0.3586580995206051,0.6413419004793949,3,0,MSFT,True,-0.004532485668229542
2019-09-09,-283.45164796733104,31.813817430568502,151035.6095328469,-478.2842757600276,226.64644522326506,-0.0,0.44390139063218237,0.125,0.0,0.5689013906321824,0.43109860936781763,3,2,AMD,True,-0.0018732051716117172
2019-09-10,-369.28157038950366,9.639647380207547,150666.32796245738,-285.8574463360959,-83.56478396284541,-0.0,0.44257771745985586,0.0625,0.0,0.5050777174598559,0.49492228254014414,3,1,AMD,True,-0.002444996723168076
2019-09-11,164.5972140736513,10.659329009353998,150830.92517653102,185.7558520703986,0.0,0.0,0.4673214713265471,0.0,0.0,0.4673214713265471,0.5326785286734529,3,0,MSFT,True,0.0010924618413389962
2019-09-12,378.82006147436056,0.9050649874960296,151209.7452380054,358.937652874528,0.0,0.0,0.4733219979853656,0.0,0.0,0.4733219979853656,0.5266780020146344,3,0,MSFT,True,0.0025115543183932163
2019-09-13,-189.3045728863513,45.24859920004788,151020.44066511904,163.96098073159484,-308.01695441789826,-0.0,0.5225659331485801,0.25,0.0,0.7725659331485801,0.22743406685141987,3,4,MSFT,True,-0.0012519336805202888
2019-09-16,-196.50680388882205,15.559961761067942,150823.9338612302,-199.8178912029615,18.87104907520738,-0.0,0.5255980902032099,0.25,0.0,0.77559809020321,0.22440190979678998,3,5,QCOM,True,-0.001301193421389671
2019-09-17,807.915436944379,27.55041381164884,151631.84929817458,611.7582507689183,218.93852846819493,0.0,0.5707641505978246,0.1875,0.0,0.7582641505978246,0.2417358494021754,3,3,QCOM,True,0.005356679250176065
2019-09-18,-231.75014937044855,28.96572871560281,151400.09914880412,-219.38958798766328,0.0,-0.0,0.5813441898442663,0.0,0.0,0.5813441898442663,0.4186558101557337,3,0,MSFT,True,-0.0015283738241213844
2019-09-19,163.63710443597495,0.24857828160960246,151563.7362532401,163.88568271758456,0.0,0.0,0.582986053244668,0.0,0.0,0.582986053244668,0.417013946755332,3,0,MSFT,True,0.0010808256094676902
2019-09-20,-1513.10086021529,11.981976565293525,150050.6353930248,-1284.293532663456,-216.82535098654031,-0.0,0.599541748633923,0.0625,0.0,0.6620417486339228,0.33795825136607716,3,1,QCOM,True,-0.009983264451115978
2019-09-23,1049.7545800593907,20.506078593029052,151100.38997308418,823.2605003930993,238.18628009546907,0.0,0.587880690589631,0.1875,0.0,0.7753806905896309,0.22461930941036912,3,3,QCOM,True,0.006996002231578616
2019-09-24,-2576.530257992943,11.275006751428984,148523.85971509124,-2274.362993583613,-290.8922576579014,-0.0,0.6,0.125,0.0,0.7249999999999999,0.27500000000000013,3,2,QCOM,True,-0.017051777685364713
2019-09-25,1385.574898044386,9.2827412321932,149909.4346131356,1252.7839261379818,142.07371313859747,0.0,0.6,0.0625,0.0,0.6624999999999999,0.33750000000000013,3,1,MSFT,True,0.009328971794176988
2019-09-26,5.6658172953805295,9.369339663320977,149915.100430431,-0.6416466609674258,0.0,-0.0,0.6,0.0,0.0,0.6,0.4,3,0,MSFT,True,3.779493472176747e-05
2019-09-27,-1432.5249527555366,0.0,148482.57547767545,-1432.5249527555366,0.0,-0.0,0.6,0.0,0.0,0.6,0.4,3,0,MSFT,True,-0.009555574779608732
2019-09-30,433.2692010427868,0.0,148915.84467871825,425.5074354663235,0.0,0.0,0.6,0.0,0.0,0.6,0.4,3,0,MSFT,True,0.0029179801040555725
