date,net_pnl,transaction_cost,portfolio_value,invested_weight,cash_weight,regime_scale,stop_active,n_held,holdings,daily_return
2023-10-04,4436.384539028172,4.432100481315625,359036.1565155128,0.883888447414504,0.11611155258549599,1.0,False,5,"META,NVDA,ORCL,ADBE,NFLX",0.012510962751894754
2023-10-05,-87.29581179106933,13.758048786954866,358948.8607037217,0.8455690510604478,0.15443094893955223,1.0,False,5,"META,NVDA,ORCL,ADBE,NFLX",-0.0002431393334818566
2023-10-06,7266.947344127651,0.5132015811950675,366215.80804784934,0.8441393165289357,0.1558606834710643,1.0,False,5,"META,NVDA,ORCL,ADBE,NFLX",0.02024507705604846
2023-10-09,1572.3585944207766,24.215875593887056,367788.1666422701,0.7780147116874018,0.22198528831259823,1.0,False,5,"META,NVDA,ORCL,ADBE,NFLX",0.004293530098556898
2023-10-10,-1335.3672360238916,2.845316314229232,366452.7994062462,0.7857510027709502,0.21424899722904978,1.0,False,5,"META,NVDA,ORCL,ADBE,NFLX",-0.0036308053307292486
2023-10-11,3016.6516899917156,75.81385075036606,369469.4510962379,0.9926367214043055,0.007363278595694522,1.0,False,5,"META,NVDA,ORCL,ADBE,NFLX",0.008232033415707335
2023-10-12,-1145.383754538915,5.151329990227405,368324.06734169903,0.9786942155355711,0.02130578446442888,1.0,False,5,"META,NVDA,ORCL,ADBE,NFLX",-0.003100077018926715
2023-10-13,-7140.329780915187,0.2602349069270333,361183.73756078386,0.9779876776522195,0.0220123223477805,1.0,False,5,"META,NVDA,ORCL,ADBE,NFLX",-0.019385998402029512
2023-10-16,4219.676163882059,7.562559433849255,365403.41372466594,0.9989259388400631,0.001074061159936912,1.0,False,5,"META,NVDA,ORCL,ADBE,NFLX",0.01168290740989391
2023-10-17,-1207.3665505258998,8.417419807915996,364196.04717414005,0.9758899750483877,0.024110024951612297,1.0,False,5,"META,NVDA,ORCL,ADBE,NFLX",-0.0033042016171082053
2023-10-18,-6777.809701605679,1.8539524102960085,357418.23747253435,0.9809805091842773,0.01901949081572274,1.0,False,5,"META,NVDA,ORCL,ADBE,NFLX",-0.018610332962688294
2023-10-19,13349.779151698147,5.203694952211857,370768.0166242325,0.9664213893447035,0.03357861065529655,1.0,False,5,"META,NVDA,ORCL,ADBE,NFLX",0.03735058190119357
2023-10-20,-7031.671686248266,42.24480587409593,363736.34493798425,0.8524827431294062,0.1475172568705938,1.0,False,5,"META,NVDA,ORCL,ADBE,NFLX",-0.018965151714730438
2023-10-23,4511.393812910602,19.396174159143243,368247.73875089484,0.7991579257745436,0.2008420742254564,1.0,False,5,"META,NVDA,ORCL,ADBE,NFLX",0.012402922819493824
2023-10-24,1212.2032266690887,5.653465979697831,369459.94197756395,0.7838055817279123,0.21619441827208774,1.0,False,5,"META,NVDA,ORCL,ADBE,NFLX",0.0032918144474719958
2023-10-25,-7805.123516407172,8.195433379868579,361654.8184611568,0.8059877791699457,0.19401222083005432,1.0,False,5,"META,NVDA,ORCL,ADBE,NFLX",-0.021125763931617657
2023-10-26,-5992.999555143111,21.84387682139101,355661.8189060137,0.745587984375736,0.25441201562426397,1.0,False,5,"META,NVDA,ORCL,ADBE,NFLX",-0.016571048550226307
2023-10-27,622.2821600962233,10.512886226457832,356284.1010661099,0.7160293259321769,0.28397067406782306,1.0,False,5,"META,NVDA,ORCL,ADBE,NFLX",0.0017496456662407893
2023-10-30,5906.2551692934685,0.11400008788291931,362190.3562354034,0.7157093563137129,0.2842906436862871,1.0,False,5,"META,NVDA,ORCL,ADBE,NFLX",0.016577375054402273
2023-10-31,1012.6356372449661,5.740511829118639,363202.99187264836,0.6998599231902434,0.30014007680975663,1.0,False,5,"META,NVDA,ORCL,ADBE,NFLX",0.002795865819759182
2023-11-01,5801.5912481891155,161.03781043643565,369004.58312083746,0.6,0.4,0.6,False,5,"META,NVDA,ORCL,ADBE,INTC",0.015973412604000124
2023-11-02,2811.6564849467836,0.0,371816.23960578424,0.6,0.4,0.6,False,5,"META,NVDA,ORCL,ADBE,INTC",0.007619570632883045
2023-11-03,3078.559982893159,0.0,374894.7995886774,0.6,0.4,0.6,False,5,"META,NVDA,ORCL,ADBE,INTC",0.008279788925188374
2023-11-06,1087.911385093602,0.0,375982.710973771,0.6,0.4,0.6,False,5,"META,NVDA,ORCL,ADBE,INTC",0.0029019111128968005
2023-11-07,3473.1805356621753,0.0,379455.89150943316,0.6,0.4,0.6,False,5,"META,NVDA,ORCL,ADBE,INTC",0.009237607034288522
2023-11-08,403.03878699773236,0.0,379858.9302964309,0.6,0.4,0.6,False,5,"META,NVDA,ORCL,ADBE,INTC",0.0010621492405730982
2023-11-09,-414.0627722619339,0.0,379444.867524169,0.6,0.4,0.6,False,5,"META,NVDA,ORCL,ADBE,INTC",-0.001090043537843934
2023-11-10,5715.619642157343,0.0,385160.4871663263,0.6,0.4,0.6,False,5,"META,NVDA,ORCL,ADBE,INTC",0.015063109640805152
2023-11-13,-934.0339165734022,0.0,384226.4532497529,0.6,0.4,0.6,False,5,"META,NVDA,ORCL,ADBE,INTC",-0.002425051238887992
2023-11-14,5510.950908226663,0.0,389737.4041579796,0.6,0.4,0.6,False,5,"META,NVDA,ORCL,ADBE,INTC",0.014342976288112217
2023-11-15,-331.27112986534956,0.0,389406.1330281142,0.6,0.4,0.6,False,5,"META,NVDA,ORCL,ADBE,INTC",-0.0008499854679872328
