date,net_pnl,transaction_cost,portfolio_value,invested_weight,net_weight,cash_weight,n_long,n_short,in_regime,holdings,shorts,daily_return
2018-01-25,-25.417063925644054,0.0,105635.53497784167,1.0000000000000002,0.8614692518696425,0.13853074813035748,16,1,True,"SPY,QQQ,IWM,EFA,EEM,VNQ,TLT,IEF,LQD,HYG,TIP,GLD,SLV,DBC,USO,FXY",UUP,-0.00024055304665054314
2018-01-26,296.31443522742654,0.0,105931.8494130691,1.0000000000000002,0.8614692518696425,0.13853074813035748,16,1,True,"SPY,QQQ,IWM,EFA,EEM,VNQ,TLT,IEF,LQD,HYG,TIP,GLD,SLV,DBC,USO,FXY",UUP,0.0028050639899687363
2018-01-29,-533.8508423817987,0.0,105397.9985706873,1.0000000000000002,0.8614692518696425,0.13853074813035748,16,1,True,"SPY,QQQ,IWM,EFA,EEM,VNQ,TLT,IEF,LQD,HYG,TIP,GLD,SLV,DBC,USO,FXY",UUP,-0.005039568792008044
2018-01-30,-495.1889541545594,0.0,104902.80961653274,1.0000000000000002,0.8614692518696425,0.13853074813035748,16,1,True,"SPY,QQQ,IWM,EFA,EEM,VNQ,TLT,IEF,LQD,HYG,TIP,GLD,SLV,DBC,USO,FXY",UUP,-0.004698276635893147
2018-01-31,275.68767762383186,0.0,105178.49729415658,1.0000000000000002,0.8614692518696425,0.13853074813035748,16,1,True,"SPY,QQQ,IWM,EFA,EEM,VNQ,TLT,IEF,LQD,HYG,TIP,GLD,SLV,DBC,USO,FXY",UUP,0.002628029493505418
2018-02-01,-44.35096266176967,37.60947673474413,105134.1463314948,0.9999999999999999,0.5516092305191852,0.4483907694808148,14,3,True,"SPY,QQQ,IWM,EFA,EEM,TLT,LQD,HYG,TIP,GLD,SLV,DBC,USO,FXY","VNQ,IEF,UUP",-0.0004216732868671027
2018-02-02,-917.0177992179352,0.0,104217.12853227687,0.9999999999999999,0.5516092305191852,0.4483907694808148,14,3,True,"SPY,QQQ,IWM,EFA,EEM,TLT,LQD,HYG,TIP,GLD,SLV,DBC,USO,FXY","VNQ,IEF,UUP",-0.008722359302053192
2018-02-05,-889.7520791475075,0.0,103327.37645312936,0.9999999999999999,0.5516092305191852,0.4483907694808148,14,3,True,"SPY,QQQ,IWM,EFA,EEM,TLT,LQD,HYG,TIP,GLD,SLV,DBC,USO,FXY","VNQ,IEF,UUP",-0.008537484113006859
2018-02-06,356.6076153738551,0.0,103683.98406850321,0.9999999999999999,0.5516092305191852,0.4483907694808148,14,3,True,"SPY,QQQ,IWM,EFA,EEM,TLT,LQD,HYG,TIP,GLD,SLV,DBC,USO,FXY","VNQ,IEF,UUP",0.003451240393542915
2018-02-07,-530.8101077931751,0.0,103153.17396071003,0.9999999999999999,0.5516092305191852,0.4483907694808148,14,3,True,"SPY,QQQ,IWM,EFA,EEM,TLT,LQD,HYG,TIP,GLD,SLV,DBC,USO,FXY","VNQ,IEF,UUP",-0.005119499530828917
2018-02-08,-859.6450514776097,0.0,102293.52890923242,0.9999999999999999,0.5516092305191852,0.4483907694808148,14,3,True,"SPY,QQQ,IWM,EFA,EEM,TLT,LQD,HYG,TIP,GLD,SLV,DBC,USO,FXY","VNQ,IEF,UUP",-0.008333675237225755
2018-02-09,-51.22443935294686,0.0,102242.30446987948,0.9999999999999999,0.5516092305191852,0.4483907694808148,14,3,True,"SPY,QQQ,IWM,EFA,EEM,TLT,LQD,HYG,TIP,GLD,SLV,DBC,USO,FXY","VNQ,IEF,UUP",-0.0005007593334510883
2018-02-12,530.5861247932535,0.0,102772.89059467273,0.9999999999999999,0.5516092305191852,0.4483907694808148,14,3,True,"SPY,QQQ,IWM,EFA,EEM,TLT,LQD,HYG,TIP,GLD,SLV,DBC,USO,FXY","VNQ,IEF,UUP",0.0051894969263878805
2018-02-13,112.66649506745587,0.0,102885.55708974019,0.9999999999999999,0.5516092305191852,0.4483907694808148,14,3,True,"SPY,QQQ,IWM,EFA,EEM,TLT,LQD,HYG,TIP,GLD,SLV,DBC,USO,FXY","VNQ,IEF,UUP",0.0010962666751468794
2018-02-14,762.2824894739307,0.0,103647.83957921412,0.9999999999999999,0.5516092305191852,0.4483907694808148,14,3,True,"SPY,QQQ,IWM,EFA,EEM,TLT,LQD,HYG,TIP,GLD,SLV,DBC,USO,FXY","VNQ,IEF,UUP",0.007409033017229451
2018-02-15,526.8243556162222,0.0,104174.66393483034,0.9999999999999999,0.5516092305191852,0.4483907694808148,14,3,True,"SPY,QQQ,IWM,EFA,EEM,TLT,LQD,HYG,TIP,GLD,SLV,DBC,USO,FXY","VNQ,IEF,UUP",0.005082830069155376
2018-02-16,-5.990881766483289,0.0,104168.67305306386,0.9999999999999999,0.5516092305191852,0.4483907694808148,14,3,True,"SPY,QQQ,IWM,EFA,EEM,TLT,LQD,HYG,TIP,GLD,SLV,DBC,USO,FXY","VNQ,IEF,UUP",-5.7508049848196e-05
2018-02-20,-390.85267475625614,0.0,103777.8203783076,0.9999999999999999,0.5516092305191852,0.4483907694808148,14,3,True,"SPY,QQQ,IWM,EFA,EEM,TLT,LQD,HYG,TIP,GLD,SLV,DBC,USO,FXY","VNQ,IEF,UUP",-0.003752113407042773
2018-02-21,-254.07601229495302,0.0,103523.74436601264,0.9999999999999999,0.5516092305191852,0.4483907694808148,14,3,True,"SPY,QQQ,IWM,EFA,EEM,TLT,LQD,HYG,TIP,GLD,SLV,DBC,USO,FXY","VNQ,IEF,UUP",-0.002448268920745823
2018-02-22,233.4533273586475,0.0,103757.19769337129,0.9999999999999999,0.5516092305191852,0.4483907694808148,14,3,True,"SPY,QQQ,IWM,EFA,EEM,TLT,LQD,HYG,TIP,GLD,SLV,DBC,USO,FXY","VNQ,IEF,UUP",0.0022550703588663026
2018-02-23,456.90917236719025,0.0,104214.10686573847,0.9999999999999999,0.5516092305191852,0.4483907694808148,14,3,True,"SPY,QQQ,IWM,EFA,EEM,TLT,LQD,HYG,TIP,GLD,SLV,DBC,USO,FXY","VNQ,IEF,UUP",0.0044036383260607345
2018-02-26,303.6550532624629,0.0,104517.76191900094,0.9999999999999999,0.5516092305191852,0.4483907694808148,14,3,True,"SPY,QQQ,IWM,EFA,EEM,TLT,LQD,HYG,TIP,GLD,SLV,DBC,USO,FXY","VNQ,IEF,UUP",0.0029137615088297877
2018-02-27,-553.8398042817793,0.0,103963.92211471916,0.9999999999999999,0.5516092305191852,0.4483907694808148,14,3,True,"SPY,QQQ,IWM,EFA,EEM,TLT,LQD,HYG,TIP,GLD,SLV,DBC,USO,FXY","VNQ,IEF,UUP",-0.005299001759251154
2018-02-28,-296.2720468137199,0.0,103667.65006790543,0.9999999999999999,0.5516092305191852,0.4483907694808148,14,3,True,"SPY,QQQ,IWM,EFA,EEM,TLT,LQD,HYG,TIP,GLD,SLV,DBC,USO,FXY","VNQ,IEF,UUP",-0.002849758269862097
2018-03-01,-359.46918072818613,78.37062294426723,103308.18088717724,1.0,-0.13942242293343354,1.1394224229334335,10,7,True,"SPY,QQQ,IWM,EFA,EEM,HYG,GLD,DBC,USO,FXY","VNQ,TLT,IEF,LQD,TIP,SLV,UUP",-0.003467515473657626
2018-03-02,382.14516773241627,0.0,103690.32605490966,1.0,-0.13942242293343354,1.1394224229334335,10,7,True,"SPY,QQQ,IWM,EFA,EEM,HYG,GLD,DBC,USO,FXY","VNQ,TLT,IEF,LQD,TIP,SLV,UUP",0.003699079438343384
2018-03-05,167.28952645759892,0.0,103857.61558136725,1.0,-0.13942242293343354,1.1394224229334335,10,7,True,"SPY,QQQ,IWM,EFA,EEM,HYG,GLD,DBC,USO,FXY","VNQ,TLT,IEF,LQD,TIP,SLV,UUP",0.0016133571261894772
2018-03-06,120.23515152191102,0.0,103977.85073288916,1.0,-0.13942242293343354,1.1394224229334335,10,7,True,"SPY,QQQ,IWM,EFA,EEM,HYG,GLD,DBC,USO,FXY","VNQ,TLT,IEF,LQD,TIP,SLV,UUP",0.0011576922005080387
2018-03-07,-57.25636387500416,0.0,103920.59436901416,1.0,-0.13942242293343354,1.1394224229334335,10,7,True,"SPY,QQQ,IWM,EFA,EEM,HYG,GLD,DBC,USO,FXY","VNQ,TLT,IEF,LQD,TIP,SLV,UUP",-0.0005506592362838045
2018-03-08,-206.88841297819397,0.0,103713.70595603596,1.0,-0.13942242293343354,1.1394224229334335,10,7,True,"SPY,QQQ,IWM,EFA,EEM,HYG,GLD,DBC,USO,FXY","VNQ,TLT,IEF,LQD,TIP,SLV,UUP",-0.001990831694471924
2018-03-09,466.6120763075092,0.0,104180.31803234348,1.0,-0.13942242293343354,1.1394224229334335,10,7,True,"SPY,QQQ,IWM,EFA,EEM,HYG,GLD,DBC,USO,FXY","VNQ,TLT,IEF,LQD,TIP,SLV,UUP",0.004499039659283848
