date,portfolio_value,daily_return
2022-09-20,264952.4795812295,0.002234774613812718
2022-09-21,263064.682889633,-0.007125038778954873
2022-09-22,261167.12993468126,-0.007213256200368945
2022-09-23,258681.3150740336,-0.00951810000465747
2022-09-26,258840.42977779728,0.0006150993306885955
2022-09-27,260151.01677309733,0.005063300955052252
2022-09-28,260358.3165856059,0.0007968441372243618
2022-09-29,255585.20691683158,-0.018332848865248108
2022-09-30,254119.98521662087,-0.0057328110569697666
2022-10-03,252208.77565299658,-0.007520894360178332
2022-10-04,253617.788864973,0.005586693834615186
2022-10-05,252817.6317771798,-0.003154972257167654
2022-10-06,252427.7411274978,-0.001542181401436582
2022-10-07,249940.76523964969,-0.009852228906140681
2022-10-10,250011.07033483076,0.00028128702860330534
2022-10-11,249025.44749978147,-0.003942316769130594
2022-10-12,248992.20175920203,-0.00013350338655437888
2022-10-13,250549.40277803753,0.00625401521747837
2022-10-14,247702.22717769135,-0.011363729343503937
2022-10-17,250040.3366236364,0.009439194280105534
2022-10-18,250328.496898477,0.0011524551547630324
2022-10-19,250529.9860248244,0.0008048988782491939
2022-10-20,249090.8487024013,-0.00574437154313534
2022-10-21,250440.8135077166,0.005419568050563539
2022-10-24,250411.2064815344,-0.00011821965344838148
2022-10-25,251939.07478702997,0.006101437419527844
2022-10-26,251791.8617147764,-0.0005843201273085796
2022-10-27,251258.03624749364,-0.002120106121171861
2022-10-28,253266.25740515412,0.007992664384602444
2022-10-31,252837.87166608075,-0.0016914441878772557
2022-11-01,252827.38007501367,-4.1495330576624134e-05
2022-11-02,251288.84979809748,-0.0060852992917923565
2022-11-03,250893.00076985886,-0.001575274941791771
2022-11-04,250067.1802307635,-0.0032915248195898306
2022-11-07,249911.88477872423,-0.0006210149284523458
2022-11-08,250379.2817305905,0.0018702469963767232
2022-11-09,249706.00758986874,-0.002689016982827752
2022-11-10,251609.15910532247,0.007621568795331379
2022-11-11,252889.74442877615,0.005089581508110452
2022-11-14,253374.45763552788,0.0019166977603088942
2022-11-15,253938.3868537569,0.0022256750877400755
2022-11-16,253755.3808100262,-0.0007206710493758983
2022-11-17,253392.44888301543,-0.0014302432754420558
2022-11-18,253074.37256201703,-0.0012552715063156583
2022-11-21,252887.99874559083,-0.000736438915325266
2022-11-22,253062.05981157316,0.0006882931054290609
2022-11-23,253286.34976218225,0.0008863041373174951
2022-11-25,253038.04518175355,-0.0009803314732982349
2022-11-28,252888.7130891059,-0.0005901566799584312
2022-11-29,252955.63605613032,0.0002646340605989561
