date,holding,net_pnl,portfolio_value,stop_active,day_ret,in_regime,daily_return
2018-05-31,SOXX,-1051.5904628730711,144568.65077688565,False,-0.007221458046767437,True,-0.007221458046767437
2018-06-01,SOXX,3279.960729437461,147848.61150632313,False,0.0226879113266365,True,0.0226879113266365
2018-06-04,SOXX,1176.7798036913296,149025.39131001444,False,0.007959356477561519,True,0.007959356477561519
2018-06-05,SOXX,726.0981767457035,149751.48948676014,False,0.004872311827956999,True,0.004872311827956999
2018-06-06,SOXX,926.4011220548684,150677.890608815,False,0.006186256478849739,True,0.006186256478849739
2018-06-07,SOXX,-1327.007012673176,149350.88359614182,False,-0.008806912595546668,True,-0.008806912595546779
2018-06-08,SOXX,-1327.0070126731866,148023.87658346863,False,-0.008885163453478673,True,-0.008885163453478673
2018-06-11,SOXX,-300.45441796372603,147723.42216550492,False,-0.002029769959404515,True,-0.002029769959404404
2018-06-12,SOXX,776.1739130730043,148499.59607857792,False,0.005254237288135677,True,0.005254237288135677
2018-06-13,SOXX,-225.34081347282037,148274.2552651051,False,-0.0015174506828529166,True,-0.0015174506828528056
2018-06-14,SOXX,876.3253857275811,149150.58065083268,False,0.005910165484633634,True,0.005910165484633634
2018-06-15,SOXX,-125.1893408182149,149025.39131001447,False,-0.0008393486654355575,True,-0.0008393486654355575
2018-06-18,SOXX,-1427.158485327752,147598.2328246867,False,-0.009576612903225756,True,-0.009576612903225756
2018-06-19,SOXX,-1627.4614306369251,145970.77139404978,False,-0.011026293469041604,True,-0.011026293469041604
2018-06-20,SOXX,701.060308582063,146671.83170263184,False,0.004802744425385974,True,0.004802744425385974
2018-06-21,SOXX,-1827.7643759460768,144844.06732668576,False,-0.012461590986684867,True,-0.012461590986684867
2018-06-22,SOXX,-1151.7419355276668,143692.32539115808,False,-0.007951598962834927,True,-0.007951598962835038
2018-06-25,SOXX,-4206.3618514923455,139485.96353966574,False,-0.02927339257710404,True,-0.02927339257710404
2018-06-26,SOXX,475.71949510923406,139961.68303477496,False,0.0034105187578530316,True,0.0034105187578530316
2018-06-27,SOXX,-3330.0364657647665,136631.6465690102,False,-0.023792486583184225,True,-0.023792486583184225
2018-06-28,SOXX,1026.5525947094452,137658.19916371963,False,0.007513285688107052,True,0.007513285688107052
2018-06-29,SOXX,300.4544179637613,137958.6535816834,False,0.00218261185885793,True,0.00218261185885793
2018-07-02,SOXX,851.2875175639219,138809.94109924734,False,0.006170598911070746,True,0.006170598911070746
2018-07-03,SOXX,-2528.8246845281233,136281.11641471923,False,-0.018217893217893133,True,-0.018217893217893022
2018-07-05,SOXX,3655.5287518921464,139936.6451666114,False,0.026823442954253096,True,0.026823442954253096
2018-07-06,SOXX,1702.5750351278405,141639.22020173923,False,0.012166756128108691,True,0.012166756128108691
2018-07-09,SOXX,926.4011220548459,142565.62132379407,False,0.006540569206292979,True,0.006540569206292979
2018-07-10,SOXX,1502.2720898187074,144067.89341361276,False,0.010537407797681864,True,0.010537407797681864
2018-07-11,SOXX,-3705.604488219441,140362.2889253933,False,-0.025721237400069485,True,-0.025721237400069596
2018-07-12,SOXX,951.4389902185083,141313.72791561182,False,0.006778451658936868,True,0.006778451658936868
2018-07-13,SOXX,-525.7952314365374,140787.9326841753,False,-0.003720765414599536,True,-0.003720765414599425
