date,equity,spot,vix,realised_vol,vrp,in_position,book_value,delta,gamma,vega,theta,hedge_shares,delta_pnl,gamma_pnl,vega_pnl,theta_pnl,residual_pnl,interest,costs,action,portfolio_value,daily_return,in_regime
2021-08-16,195431.33499468327,417.73,16.12,8.623439037604799,7.496560962395202,True,3310.8900255685257,0.0,-38.75441485532116,-447.99786881462535,236.26970217585338,299.3997577008008,0.0,-18.48290039874438,-341.25742667869656,644.1256420881941,51.731169197271754,-25.31423338659333,1.5781998679031406,,195431.33499468327,0.0015847719638637514,True
2021-08-17,194739.78762218115,414.99,17.91,8.741115074052159,9.168884925947841,True,3177.8234541386523,0.0,-38.520353691855874,-455.7181089155328,288.58854698275576,196.78022875305948,-0.0,-145.47632248390553,-801.916185178179,236.26970217585338,23.834040815907656,0.0,4.258607831802318,,194739.78762218115,-0.003538569557031135,True
2021-08-18,192941.81750111285,410.45,21.57,9.482557799951826,12.087442200048175,True,4075.359050057972,3.552713678800501e-15,-38.41456913009523,-497.183971685606,412.1065779430077,24.96181944363434,-0.0,-396.9830610775319,-1667.9282786308502,288.58854698275576,-14.59504173258756,0.0,7.052286610105354,,192941.81750111285,-0.009232679890544881,True
2021-08-19,193324.71391733573,411.08,21.67,9.213033345232818,12.456966654767184,True,3732.197088681374,0.0,-38.57997445525793,-464.4745518526811,418.72254920632776,49.92317864119722,2.2382096176442994e-15,-7.623371243867288,-49.71839716856131,412.1065779430077,4.12309809550834,25.034620150672584,1.0261115538934147,,193324.71391733573,0.001984517515082773,True
2021-08-20,194783.56728620286,414.35,18.56,9.452756167214146,9.107243832785853,True,2431.598670100861,0.0,-38.42599917209472,-369.00958578930965,308.7947146196784,170.44553582907702,0.0,-206.26590442631863,1444.5158562618396,418.72254920632776,-193.1252883046186,0.0,4.993843870079799,,194783.56728620286,0.007546129717749928,True
2021-08-23,195840.93254007134,418.0,17.15,9.783974382102704,7.366025617897295,True,1966.2306895456745,0.0,-40.14633229120723,-263.6693723610269,278.3529300997205,286.68046771221395,0.0,-255.96518698511278,520.3035159629267,926.3841438590352,-103.22828650553538,-25.27031231011083,4.858620152715124,,195840.93254007134,0.005428410972240005,True
2021-08-24,196101.9229527013,418.66,17.22,9.505763427292452,7.714236572707547,True,1893.780935215407,0.0,-41.63495787111483,-241.0013028888839,291.91878082535715,302.6468936991433,0.0,-8.743871173025598,-18.456856065271957,278.3529300997205,10.506660158912979,0.0,0.6684503903687831,,196101.9229527013,0.0013326652873069111,True
2021-08-25,196487.92636970626,419.54,16.79,9.25235069127823,7.53764930872177,True,1773.3933980136203,0.0,-45.02428550573421,-218.72713253749316,301.2596155441563,319.65091362792975,0.0,-16.121055687695495,103.63056024222001,291.91878082535715,7.288518277149706,0.0,0.7133866520923079,,196487.92636970626,0.001968381600714997,True
2021-08-26,196272.7586919109,417.06,18.84,9.260290051226631,9.579709948773369,True,1191.7744878594465,0.0,-38.438450284498344,-172.55239281409828,321.7840476822182,222.48690479739483,-0.0,-138.4586827872359,-448.39062170186116,301.2596155441563,74.47433330184288,0.0,4.05232215228629,,196272.7586919109,-0.0010950681895360859,True
2021-08-27,196838.8342994568,420.79,16.39,9.628180550413749,6.761819449586252,True,1451.0802515137177,0.0,-55.49844652138337,-176.50529074863618,356.6799121721232,329.30464509759213,0.0,-267.39515748160113,422.75336239454066,321.7840476822182,93.42813864485777,0.0,4.4947836940920025,,196838.8342994568,0.002884127228447886,True
